issue_id,asset_id,source_id,domain,issue_type,severity,included_in_retrieval,estimated_risk_exposure_points,recommended_action,target_owner,cycle_time_target_days,status
ISS-00601,AST-00229,SRC-017,Device Intelligence,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,10,open
ISS-00605,AST-00231,SRC-067,Device Intelligence,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,10,open
ISS-00607,AST-00232,SRC-082,Business Registry,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,5,open
ISS-00608,AST-00232,SRC-082,Business Registry,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,5,resolved
ISS-00609,AST-00232,SRC-082,Business Registry,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,5,in_progress
ISS-00610,AST-00232,SRC-082,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,5,resolved
ISS-00611,AST-00232,SRC-082,Business Registry,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,10,open
ISS-00618,AST-00236,SRC-014,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,5,blocked
ISS-00623,AST-00237,SRC-023,Identity Verification,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,5,open
ISS-00628,AST-00239,SRC-049,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Data Steward,20,open
ISS-00629,AST-00239,SRC-049,Compliance Policy,metadata_gap,P1,False,160,Complete business description and field dictionary,Governance Partner,10,open
ISS-00630,AST-00239,SRC-049,Compliance Policy,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Governance Partner,15,resolved
ISS-00631,AST-00239,SRC-049,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,5,open
ISS-00642,AST-00245,SRC-079,Fraud Signals,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,5,open
ISS-00644,AST-00246,SRC-054,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Governance Partner,10,resolved
ISS-00645,AST-00246,SRC-054,Compliance Policy,metadata_gap,P1,False,160,Complete business description and field dictionary,Knowledge Manager,10,open
ISS-00646,AST-00246,SRC-054,Compliance Policy,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Source Owner,10,blocked
ISS-00647,AST-00246,SRC-054,Compliance Policy,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,20,open
ISS-00660,AST-00253,SRC-086,Identity Verification,stale_source,P1,True,160,Refresh or remove stale retrieval source,Data Steward,15,open
ISS-00661,AST-00253,SRC-086,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Source Owner,10,open
ISS-00662,AST-00253,SRC-086,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,20,blocked
ISS-00663,AST-00253,SRC-086,Identity Verification,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,open
ISS-00664,AST-00253,SRC-086,Identity Verification,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,10,open
ISS-00670,AST-00256,SRC-026,Customer Risk Notes,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,10,blocked
ISS-00675,AST-00257,SRC-024,Identity Verification,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,15,open
ISS-00677,AST-00258,SRC-029,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,10,open
ISS-00683,AST-00259,SRC-095,Case Operations,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Knowledge Manager,15,in_progress
ISS-00687,AST-00263,SRC-007,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,5,open
ISS-00689,AST-00264,SRC-072,Identity Verification,stale_source,P1,False,160,Refresh or remove stale retrieval source,Governance Partner,5,blocked
ISS-00690,AST-00264,SRC-072,Identity Verification,metadata_gap,P1,False,160,Complete business description and field dictionary,Governance Partner,5,open
ISS-00691,AST-00264,SRC-072,Identity Verification,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Knowledge Manager,5,resolved
ISS-00692,AST-00264,SRC-072,Identity Verification,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,10,open
ISS-00704,AST-00270,SRC-031,Case Operations,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,5,open
ISS-00708,AST-00272,SRC-051,Identity Verification,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,15,open
ISS-00709,AST-00272,SRC-051,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,5,open
ISS-00710,AST-00272,SRC-051,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Governance Partner,10,open
ISS-00711,AST-00272,SRC-051,Identity Verification,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,10,resolved
ISS-00719,AST-00276,SRC-030,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,15,open
ISS-00736,AST-00282,SRC-053,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,10,open
ISS-00741,AST-00283,SRC-002,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Knowledge Manager,20,resolved
ISS-00746,AST-00286,SRC-035,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Data Steward,15,open
ISS-00747,AST-00286,SRC-035,Compliance Policy,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Governance Partner,15,resolved
ISS-00748,AST-00286,SRC-035,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,15,in_progress
ISS-00757,AST-00290,SRC-027,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,5,blocked
ISS-00764,AST-00292,SRC-068,Device Intelligence,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,10,open
ISS-00770,AST-00294,SRC-047,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,5,blocked
ISS-00780,AST-00298,SRC-067,Device Intelligence,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,in_progress
ISS-00789,AST-00301,SRC-037,Customer Risk Notes,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,15,resolved
ISS-00798,AST-00305,SRC-060,Fraud Signals,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,10,resolved
ISS-00799,AST-00305,SRC-060,Fraud Signals,metadata_gap,P1,True,160,Complete business description and field dictionary,Knowledge Manager,5,in_progress
ISS-00800,AST-00305,SRC-060,Fraud Signals,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,10,open
ISS-00801,AST-00305,SRC-060,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,5,blocked
ISS-00802,AST-00305,SRC-060,Fraud Signals,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,5,in_progress
ISS-00805,AST-00306,SRC-081,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,20,open
ISS-00812,AST-00310,SRC-049,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Governance Partner,15,in_progress
ISS-00813,AST-00310,SRC-049,Compliance Policy,metadata_gap,P1,False,160,Complete business description and field dictionary,Source Owner,15,blocked
ISS-00814,AST-00310,SRC-049,Compliance Policy,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Knowledge Manager,10,in_progress
ISS-00815,AST-00310,SRC-049,Compliance Policy,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,5,open
ISS-00816,AST-00311,SRC-071,Business Registry,stale_source,P1,False,160,Refresh or remove stale retrieval source,Governance Partner,10,open
ISS-00817,AST-00311,SRC-071,Business Registry,metadata_gap,P1,False,160,Complete business description and field dictionary,Governance Partner,10,in_progress
ISS-00818,AST-00311,SRC-071,Business Registry,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,10,open
ISS-00819,AST-00311,SRC-071,Business Registry,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,5,in_progress
ISS-00820,AST-00312,SRC-025,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Data Steward,5,in_progress
ISS-00821,AST-00312,SRC-025,Compliance Policy,metadata_gap,P1,False,160,Complete business description and field dictionary,Knowledge Manager,10,in_progress
ISS-00822,AST-00312,SRC-025,Compliance Policy,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Knowledge Manager,10,in_progress
ISS-00823,AST-00312,SRC-025,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Knowledge Manager,10,blocked
ISS-00825,AST-00313,SRC-081,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,5,blocked
ISS-00828,AST-00315,SRC-025,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Source Owner,15,in_progress
ISS-00829,AST-00315,SRC-025,Compliance Policy,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Source Owner,5,open
ISS-00830,AST-00315,SRC-025,Compliance Policy,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,15,open
ISS-00832,AST-00317,SRC-038,Device Intelligence,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,5,resolved
ISS-00833,AST-00317,SRC-038,Device Intelligence,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,10,blocked
ISS-00834,AST-00317,SRC-038,Device Intelligence,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,10,resolved
ISS-00835,AST-00317,SRC-038,Device Intelligence,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,10,in_progress
ISS-00836,AST-00317,SRC-038,Device Intelligence,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,5,open
ISS-00837,AST-00318,SRC-032,Compliance Policy,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,15,in_progress
ISS-00838,AST-00318,SRC-032,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,blocked
ISS-00839,AST-00318,SRC-032,Compliance Policy,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,15,resolved
ISS-00840,AST-00319,SRC-086,Identity Verification,stale_source,P1,False,160,Refresh or remove stale retrieval source,Knowledge Manager,10,in_progress
ISS-00841,AST-00319,SRC-086,Identity Verification,metadata_gap,P1,False,160,Complete business description and field dictionary,Governance Partner,10,open
ISS-00842,AST-00319,SRC-086,Identity Verification,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Knowledge Manager,5,open
ISS-00843,AST-00319,SRC-086,Identity Verification,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,10,in_progress
ISS-00844,AST-00320,SRC-062,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,5,resolved
ISS-00846,AST-00320,SRC-062,Identity Verification,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,5,blocked
ISS-00850,AST-00323,SRC-032,Compliance Policy,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,10,open
ISS-00851,AST-00323,SRC-032,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,5,blocked
ISS-00852,AST-00323,SRC-032,Compliance Policy,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,10,resolved
ISS-00857,AST-00326,SRC-042,Case Operations,stale_source,P1,True,160,Refresh or remove stale retrieval source,Knowledge Manager,15,in_progress
ISS-00858,AST-00326,SRC-042,Case Operations,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,open
ISS-00859,AST-00326,SRC-042,Case Operations,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,10,open
ISS-00861,AST-00327,SRC-016,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,15,open
ISS-00873,AST-00333,SRC-062,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,20,in_progress
ISS-00874,AST-00333,SRC-062,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,15,open
ISS-00875,AST-00333,SRC-062,Identity Verification,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,15,blocked
ISS-00876,AST-00333,SRC-062,Identity Verification,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,15,open
ISS-00877,AST-00334,SRC-038,Device Intelligence,stale_source,P1,True,160,Refresh or remove stale retrieval source,Data Steward,15,open
ISS-00878,AST-00334,SRC-038,Device Intelligence,metadata_gap,P1,True,160,Complete business description and field dictionary,Knowledge Manager,15,open
ISS-00879,AST-00334,SRC-038,Device Intelligence,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Knowledge Manager,10,in_progress
ISS-00880,AST-00334,SRC-038,Device Intelligence,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,20,in_progress
ISS-00881,AST-00334,SRC-038,Device Intelligence,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,10,open
ISS-00887,AST-00337,SRC-037,Customer Risk Notes,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,10,open
ISS-00900,AST-00342,SRC-054,Compliance Policy,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,10,resolved
ISS-00906,AST-00345,SRC-087,Sanctions Screening,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,10,open
ISS-00907,AST-00345,SRC-087,Sanctions Screening,semantic_label_gap,P1,True,160,Assign approved retrieval category labels,Source Owner,10,in_progress
ISS-00913,AST-00348,SRC-088,Customer Risk Notes,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,10,open
ISS-00915,AST-00349,SRC-020,Device Intelligence,stale_source,P1,False,160,Refresh or remove stale retrieval source,Source Owner,5,blocked
ISS-00916,AST-00349,SRC-020,Device Intelligence,metadata_gap,P1,False,160,Complete business description and field dictionary,Knowledge Manager,10,resolved
ISS-00917,AST-00349,SRC-020,Device Intelligence,semantic_label_gap,P1,False,160,Assign approved retrieval category labels,Knowledge Manager,10,open
ISS-00918,AST-00349,SRC-020,Device Intelligence,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Governance Partner,10,in_progress
ISS-00923,AST-00353,SRC-022,Sanctions Screening,metadata_gap,P1,True,160,Complete business description and field dictionary,Source Owner,15,resolved
ISS-00924,AST-00353,SRC-022,Sanctions Screening,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,5,in_progress
ISS-00925,AST-00353,SRC-022,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,10,in_progress
ISS-00926,AST-00353,SRC-022,Sanctions Screening,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,5,open
ISS-00930,AST-00354,SRC-067,Device Intelligence,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,10,in_progress
ISS-00936,AST-00357,SRC-068,Device Intelligence,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,10,blocked
ISS-00941,AST-00359,SRC-057,Case Operations,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,10,open
ISS-00959,AST-00367,SRC-041,Fraud Signals,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,10,in_progress
ISS-00960,AST-00367,SRC-041,Fraud Signals,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,5,resolved
ISS-00961,AST-00367,SRC-041,Fraud Signals,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Knowledge Manager,5,blocked
ISS-00962,AST-00367,SRC-041,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,5,resolved
ISS-00963,AST-00367,SRC-041,Fraud Signals,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,10,open
ISS-00969,AST-00370,SRC-047,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,5,blocked
ISS-00974,AST-00371,SRC-028,Business Registry,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Governance Partner,5,blocked
ISS-00981,AST-00374,SRC-059,Case Operations,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,15,resolved
ISS-00986,AST-00376,SRC-049,Compliance Policy,stale_source,P1,False,160,Refresh or remove stale retrieval source,Data Steward,10,open
ISS-00987,AST-00376,SRC-049,Compliance Policy,metadata_gap,P1,False,160,Complete business description and field dictionary,Source Owner,15,resolved
ISS-00988,AST-00376,SRC-049,Compliance Policy,semantic_label_gap,P1,False,160,Assign approved retrieval category labels,Source Owner,5,blocked
ISS-00989,AST-00377,SRC-063,Customer Risk Notes,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,15,open
ISS-00990,AST-00377,SRC-063,Customer Risk Notes,semantic_label_gap,P1,True,160,Assign approved retrieval category labels,Data Steward,5,blocked
ISS-00991,AST-00377,SRC-063,Customer Risk Notes,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,10,open
ISS-01009,AST-00386,SRC-019,Customer Risk Notes,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,20,open
ISS-01010,AST-00386,SRC-019,Customer Risk Notes,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Knowledge Manager,5,resolved
ISS-01011,AST-00386,SRC-019,Customer Risk Notes,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Source Owner,10,open
ISS-01012,AST-00387,SRC-011,Customer Risk Notes,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,5,in_progress
ISS-01035,AST-00397,SRC-014,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,15,in_progress
ISS-01041,AST-00402,SRC-094,Case Operations,stale_source,P1,False,160,Refresh or remove stale retrieval source,Data Steward,10,open
ISS-01042,AST-00402,SRC-094,Case Operations,metadata_gap,P1,False,160,Complete business description and field dictionary,Governance Partner,15,in_progress
ISS-01043,AST-00402,SRC-094,Case Operations,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Governance Partner,5,in_progress
ISS-01044,AST-00402,SRC-094,Case Operations,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Knowledge Manager,5,open
ISS-01049,AST-00405,SRC-042,Case Operations,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,10,in_progress
ISS-01050,AST-00405,SRC-042,Case Operations,metadata_gap,P1,True,160,Complete business description and field dictionary,Source Owner,5,open
ISS-01051,AST-00405,SRC-042,Case Operations,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Knowledge Manager,10,open
ISS-01056,AST-00408,SRC-050,Sanctions Screening,stale_source,P1,True,160,Refresh or remove stale retrieval source,Knowledge Manager,5,blocked
ISS-01057,AST-00408,SRC-050,Sanctions Screening,metadata_gap,P1,True,160,Complete business description and field dictionary,Knowledge Manager,10,resolved
ISS-01058,AST-00408,SRC-050,Sanctions Screening,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,10,in_progress
ISS-01059,AST-00408,SRC-050,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,20,blocked
ISS-01065,AST-00411,SRC-093,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,15,blocked
ISS-01077,AST-00418,SRC-074,Customer Risk Notes,stale_source,P1,True,160,Refresh or remove stale retrieval source,Source Owner,20,open
ISS-01078,AST-00418,SRC-074,Customer Risk Notes,metadata_gap,P1,True,160,Complete business description and field dictionary,Knowledge Manager,15,open
ISS-01079,AST-00418,SRC-074,Customer Risk Notes,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Governance Partner,10,resolved
ISS-01083,AST-00419,SRC-017,Device Intelligence,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,20,open
ISS-01086,AST-00420,SRC-047,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,20,blocked
ISS-01098,AST-00425,SRC-013,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,10,in_progress
ISS-01099,AST-00425,SRC-013,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Knowledge Manager,5,open
ISS-01110,AST-00431,SRC-035,Compliance Policy,stale_source,P1,True,160,Refresh or remove stale retrieval source,Knowledge Manager,5,open
ISS-01111,AST-00431,SRC-035,Compliance Policy,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,15,in_progress
ISS-01112,AST-00431,SRC-035,Compliance Policy,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Knowledge Manager,10,in_progress
ISS-01113,AST-00431,SRC-035,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,5,resolved
ISS-01128,AST-00438,SRC-005,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,20,open
ISS-01132,AST-00440,SRC-071,Business Registry,stale_source,P1,False,160,Refresh or remove stale retrieval source,Source Owner,10,resolved
ISS-01133,AST-00440,SRC-071,Business Registry,metadata_gap,P1,False,160,Complete business description and field dictionary,Data Steward,5,resolved
ISS-01134,AST-00440,SRC-071,Business Registry,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Governance Partner,5,in_progress
ISS-01135,AST-00440,SRC-071,Business Registry,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,10,open
ISS-01136,AST-00440,SRC-071,Business Registry,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,15,in_progress
ISS-01139,AST-00441,SRC-095,Case Operations,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,in_progress
ISS-01141,AST-00442,SRC-090,Compliance Policy,stale_source,P1,True,160,Refresh or remove stale retrieval source,Governance Partner,15,resolved
ISS-01142,AST-00442,SRC-090,Compliance Policy,metadata_gap,P1,True,160,Complete business description and field dictionary,Source Owner,10,open
ISS-01143,AST-00442,SRC-090,Compliance Policy,semantic_label_gap,P1,True,160,Assign approved retrieval category labels,Governance Partner,10,open
ISS-01144,AST-00442,SRC-090,Compliance Policy,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Governance Partner,5,open
ISS-01145,AST-00442,SRC-090,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,10,open
ISS-01147,AST-00443,SRC-040,Fraud Signals,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,10,in_progress
ISS-01152,AST-00444,SRC-073,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,open
ISS-01159,AST-00446,SRC-008,Identity Verification,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,5,in_progress
ISS-01163,AST-00447,SRC-031,Case Operations,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Data Steward,5,open
ISS-01167,AST-00449,SRC-089,Case Operations,stale_source,P1,True,160,Refresh or remove stale retrieval source,Knowledge Manager,10,blocked
ISS-01168,AST-00449,SRC-089,Case Operations,metadata_gap,P1,True,160,Complete business description and field dictionary,Data Steward,5,open
ISS-01169,AST-00449,SRC-089,Case Operations,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,10,open
ISS-01170,AST-00449,SRC-089,Case Operations,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Source Owner,5,open
ISS-01177,AST-00452,SRC-060,Fraud Signals,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Source Owner,10,open
ISS-01186,AST-00457,SRC-083,Sanctions Screening,metadata_gap,P1,True,160,Complete business description and field dictionary,Knowledge Manager,5,open
ISS-01187,AST-00457,SRC-083,Sanctions Screening,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Data Steward,10,resolved
ISS-01188,AST-00457,SRC-083,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,open
ISS-01189,AST-00457,SRC-083,Sanctions Screening,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,10,in_progress
ISS-01191,AST-00458,SRC-049,Compliance Policy,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Knowledge Manager,15,in_progress
ISS-01197,AST-00461,SRC-030,Fraud Signals,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Source Owner,10,resolved
ISS-01199,AST-00462,SRC-066,Case Operations,stale_source,P1,False,160,Refresh or remove stale retrieval source,Data Steward,10,open
ISS-01201,AST-00462,SRC-066,Case Operations,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Governance Partner,5,open
ISS-01203,AST-00464,SRC-072,Identity Verification,stale_source,P1,True,160,Refresh or remove stale retrieval source,Data Steward,5,resolved
ISS-01204,AST-00464,SRC-072,Identity Verification,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,15,open
ISS-01205,AST-00464,SRC-072,Identity Verification,lineage_owner_gap,P1,True,160,Document owner and upstream lineage,Governance Partner,5,open
ISS-01206,AST-00464,SRC-072,Identity Verification,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,10,open
ISS-01207,AST-00464,SRC-072,Identity Verification,retrieval_ambiguity,P1,True,160,Rewrite or split asset to reduce ambiguous retrieval context,Data Steward,10,open
ISS-01215,AST-00467,SRC-034,Business Registry,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Knowledge Manager,10,open
ISS-01225,AST-00470,SRC-029,Business Registry,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,5,in_progress
ISS-01230,AST-00472,SRC-084,Sanctions Screening,stale_source,P1,False,160,Refresh or remove stale retrieval source,Knowledge Manager,20,in_progress
ISS-01231,AST-00472,SRC-084,Sanctions Screening,metadata_gap,P1,False,160,Complete business description and field dictionary,Data Steward,15,open
ISS-01232,AST-00472,SRC-084,Sanctions Screening,lineage_owner_gap,P1,False,160,Document owner and upstream lineage,Governance Partner,15,blocked
ISS-01233,AST-00472,SRC-084,Sanctions Screening,governance_gap,P1,False,160,"Resolve classification, access, or retention exception",Data Steward,10,in_progress
ISS-01234,AST-00472,SRC-084,Sanctions Screening,retrieval_ambiguity,P1,False,160,Rewrite or split asset to reduce ambiguous retrieval context,Knowledge Manager,15,in_progress
ISS-01238,AST-00473,SRC-069,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,15,blocked
ISS-01243,AST-00474,SRC-014,Sanctions Screening,governance_gap,P1,True,160,"Resolve classification, access, or retention exception",Governance Partner,5,open
ISS-01249,AST-00478,SRC-038,Device Intelligence,metadata_gap,P1,True,160,Complete business description and field dictionary,Governance Partner,10,open
